tagID,timestamp,x,y,z
GPA-4_A563_S1,41:34.5,0.3281,-0.6875,-0.6875
GPA-4_A563_S1,41:34.5,0.3281,-0.6875,-0.6875
GPA-4_A563_S1,41:34.6,0.3438,-0.7031,-0.7031
GPA-4_A563_S1,41:34.6,0.3281,-0.7031,-0.7031
GPA-4_A563_S1,41:34.6,0.3281,-0.7031,-0.7031
GPA-4_A563_S1,41:34.6,0.3281,-0.6875,-0.7188
GPA-4_A563_S1,41:34.6,0.3281,-0.6875,-0.7188
GPA-4_A563_S1,41:34.6,0.3281,-0.6875,-0.7344
GPA-4_A563_S1,41:34.6,0.3438,-0.6719,-0.7188
GPA-4_A563_S1,41:34.6,0.3594,-0.6719,-0.7031
GPA-4_A563_S1,41:34.6,0.3594,-0.6875,-0.7031
GPA-4_A563_S1,41:34.6,0.3594,-0.6875,-0.7031
GPA-4_A563_S1,41:34.7,0.3594,-0.6875,-0.7188
GPA-4_A563_S1,41:34.7,0.3594,-0.7031,-0.7188
GPA-4_A563_S1,41:34.7,0.375,-0.7031,-0.7188
GPA-4_A563_S1,41:34.7,0.3594,-0.7031,-0.7188
GPA-4_A563_S1,41:34.7,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:34.7,0.3594,-0.6875,-0.6719
GPA-4_A563_S1,41:34.7,0.3281,-0.7031,-0.6875
GPA-4_A563_S1,41:34.7,0.3281,-0.7031,-0.7031
GPA-4_A563_S1,41:34.7,0.3281,-0.7031,-0.7031
GPA-4_A563_S1,41:34.7,0.3438,-0.7031,-0.7031
GPA-4_A563_S1,41:34.8,0.3438,-0.6875,-0.7188
GPA-4_A563_S1,41:34.8,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:34.8,0.3438,-0.6719,-0.7031
GPA-4_A563_S1,41:34.8,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:34.8,0.3281,-0.6875,-0.7031
GPA-4_A563_S1,41:34.8,0.3281,-0.75,-0.7031
GPA-4_A563_S1,41:34.8,0.3438,-0.7031,-0.7188
GPA-4_A563_S1,41:34.8,0.3594,-0.7031,-0.7188
GPA-4_A563_S1,41:34.8,0.3594,-0.6875,-0.7031
GPA-4_A563_S1,41:34.8,0.3594,-0.7031,-0.6875
GPA-4_A563_S1,41:34.9,0.3594,-0.6875,-0.6875
GPA-4_A563_S1,41:34.9,0.375,-0.7031,-0.6719
GPA-4_A563_S1,41:34.9,0.375,-0.6875,-0.7031
GPA-4_A563_S1,41:34.9,0.3594,-0.6875,-0.7031
GPA-4_A563_S1,41:34.9,0.3594,-0.7031,-0.6875
GPA-4_A563_S1,41:34.9,0.3438,-0.7031,-0.6875
GPA-4_A563_S1,41:34.9,0.3281,-0.7031,-0.6875
GPA-4_A563_S1,41:34.9,0.3281,-0.6875,-0.7031
GPA-4_A563_S1,41:34.9,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:34.9,0.3438,-0.7031,-0.6875
GPA-4_A563_S1,41:35.0,0.3594,-0.7031,-0.6875
GPA-4_A563_S1,41:35.0,0.3281,-0.6875,-0.7188
GPA-4_A563_S1,41:35.0,0.3438,-0.6875,-0.7344
GPA-4_A563_S1,41:35.0,0.3281,-0.6875,-0.7344
